IP地址,数据中心,地区,城市,网络延迟
104.17.71.108,SJC,北美洲,圣何塞,134 ms
89.117.112.91,SJC,北美洲,圣何塞,135 ms
104.17.144.192,SJC,北美洲,圣何塞,136 ms
1.1.1.173,SJC,北美洲,圣何塞,136 ms
104.17.229.169,SJC,北美洲,圣何塞,137 ms
1.0.0.160,SJC,北美洲,圣何塞,137 ms
104.16.154.240,SJC,北美洲,圣何塞,138 ms
104.18.59.235,SJC,北美洲,圣何塞,139 ms
104.17.143.66,SJC,北美洲,圣何塞,141 ms
1.1.1.158,SJC,北美洲,圣何塞,141 ms
104.17.50.160,SJC,北美洲,圣何塞,142 ms
104.21.226.19,LAX,北美洲,洛杉矶,143 ms
104.18.127.94,LAX,北美洲,洛杉矶,143 ms
1.1.1.239,SJC,北美洲,圣何塞,143 ms
104.16.222.18,SJC,北美洲,圣何塞,144 ms
104.16.145.10,SJC,北美洲,圣何塞,144 ms
104.18.11.163,SJC,北美洲,圣何塞,144 ms
1.0.0.63,SJC,北美洲,圣何塞,145 ms
104.18.219.105,SJC,北美洲,圣何塞,145 ms
104.16.172.43,SJC,北美洲,圣何塞,145 ms
1.1.1.172,SJC,北美洲,圣何塞,145 ms
104.18.119.95,LAX,北美洲,洛杉矶,145 ms
1.1.1.239,SJC,北美洲,圣何塞,146 ms
104.16.153.233,SJC,北美洲,圣何塞,146 ms
104.18.17.223,LAX,北美洲,洛杉矶,146 ms
104.17.202.132,SJC,北美洲,圣何塞,146 ms
104.18.57.121,SJC,北美洲,圣何塞,146 ms
104.17.168.15,SJC,北美洲,圣何塞,147 ms
104.17.14.178,SJC,北美洲,圣何塞,147 ms
104.19.250.190,LAX,北美洲,洛杉矶,148 ms
1.1.1.117,SJC,北美洲,圣何塞,148 ms
195.85.59.197,SJC,北美洲,圣何塞,148 ms
1.0.0.4,SJC,北美洲,圣何塞,148 ms
1.1.1.98,SJC,北美洲,圣何塞,148 ms
1.0.0.127,SJC,北美洲,圣何塞,148 ms
104.19.254.159,SJC,北美洲,圣何塞,149 ms
104.18.113.158,LAX,北美洲,洛杉矶,149 ms
1.0.0.153,SJC,北美洲,圣何塞,149 ms
1.1.1.6,SJC,北美洲,圣何塞,149 ms
1.1.1.57,SJC,北美洲,圣何塞,149 ms
1.0.0.4,SJC,北美洲,圣何塞,150 ms
104.16.245.81,SJC,北美洲,圣何塞,150 ms
104.18.226.104,SJC,北美洲,圣何塞,150 ms
104.17.215.79,SJC,北美洲,圣何塞,150 ms
104.18.122.252,SJC,北美洲,圣何塞,151 ms
104.17.140.143,SJC,北美洲,圣何塞,151 ms
104.18.136.100,SJC,北美洲,圣何塞,151 ms
104.16.148.132,SJC,北美洲,圣何塞,151 ms
1.1.1.222,SJC,北美洲,圣何塞,152 ms
104.18.32.15,SJC,北美洲,圣何塞,152 ms
104.16.5.156,SJC,北美洲,圣何塞,152 ms
104.19.130.7,LAX,北美洲,洛杉矶,152 ms
1.0.0.120,SJC,北美洲,圣何塞,152 ms
104.17.222.214,SJC,北美洲,圣何塞,152 ms
104.21.201.189,AMS,欧洲,阿姆斯特丹,153 ms
1.1.1.180,SJC,北美洲,圣何塞,153 ms
104.17.142.62,SJC,北美洲,圣何塞,153 ms
1.0.0.93,SJC,北美洲,圣何塞,153 ms
104.18.212.177,SJC,北美洲,圣何塞,153 ms
1.1.1.162,SJC,北美洲,圣何塞,154 ms
1.1.1.181,SJC,北美洲,圣何塞,154 ms
104.16.32.53,SJC,北美洲,圣何塞,155 ms
104.21.202.178,AMS,欧洲,阿姆斯特丹,155 ms
1.1.1.39,SJC,北美洲,圣何塞,155 ms
104.19.111.181,SJC,北美洲,圣何塞,155 ms
104.18.167.75,SJC,北美洲,圣何塞,155 ms
104.16.68.219,SJC,北美洲,圣何塞,156 ms
104.17.43.107,SJC,北美洲,圣何塞,156 ms
104.17.148.240,SJC,北美洲,圣何塞,156 ms
104.18.176.32,SJC,北美洲,圣何塞,156 ms
104.18.177.74,SJC,北美洲,圣何塞,156 ms
104.18.116.254,LAX,北美洲,洛杉矶,156 ms
104.18.108.232,SJC,北美洲,圣何塞,156 ms
1.0.0.186,SJC,北美洲,圣何塞,156 ms
104.19.17.9,SJC,北美洲,圣何塞,157 ms
104.19.251.107,LAX,北美洲,洛杉矶,157 ms
104.18.121.108,LAX,北美洲,洛杉矶,157 ms
104.17.198.43,SJC,北美洲,圣何塞,157 ms
104.18.50.101,SJC,北美洲,圣何塞,157 ms
104.19.38.163,SJC,北美洲,圣何塞,158 ms
104.16.210.196,SJC,北美洲,圣何塞,158 ms
1.0.0.82,SJC,北美洲,圣何塞,158 ms
91.193.58.204,SJC,北美洲,圣何塞,158 ms
104.17.218.118,SJC,北美洲,圣何塞,158 ms
104.17.92.12,SJC,北美洲,圣何塞,158 ms
104.16.169.12,SJC,北美洲,圣何塞,158 ms
104.18.58.182,SJC,北美洲,圣何塞,158 ms
104.17.15.197,SJC,北美洲,圣何塞,158 ms
1.1.1.24,SJC,北美洲,圣何塞,158 ms
1.0.0.152,SJC,北美洲,圣何塞,158 ms
104.17.42.45,SJC,北美洲,圣何塞,158 ms
104.19.48.229,SJC,北美洲,圣何塞,158 ms
104.18.117.41,SLC,北美洲,盐湖城,158 ms
104.16.67.3,SJC,北美洲,圣何塞,158 ms
1.0.0.195,SJC,北美洲,圣何塞,158 ms
104.19.142.99,SLC,北美洲,盐湖城,159 ms
104.17.68.76,SJC,北美洲,圣何塞,159 ms
1.1.1.252,SJC,北美洲,圣何塞,159 ms
104.16.56.91,SJC,北美洲,圣何塞,159 ms
104.18.25.140,LAX,北美洲,洛杉矶,159 ms
1.1.1.202,SJC,北美洲,圣何塞,160 ms
104.21.196.226,AMS,欧洲,阿姆斯特丹,160 ms
104.17.193.152,SJC,北美洲,圣何塞,160 ms
104.17.213.140,SJC,北美洲,圣何塞,160 ms
104.18.53.124,SJC,北美洲,圣何塞,160 ms
104.21.227.12,PDX,北美洲,波特兰,160 ms
172.67.229.206,AMS,欧洲,阿姆斯特丹,160 ms
104.16.177.165,SJC,北美洲,圣何塞,160 ms
1.1.1.252,SJC,北美洲,圣何塞,161 ms
104.19.183.153,SJC,北美洲,圣何塞,161 ms
104.17.183.142,SJC,北美洲,圣何塞,161 ms
104.17.57.15,SJC,北美洲,圣何塞,161 ms
104.17.225.213,SJC,北美洲,圣何塞,161 ms
1.0.0.79,SJC,北美洲,圣何塞,162 ms
104.18.20.217,LAX,北美洲,洛杉矶,162 ms
104.19.208.28,SJC,北美洲,圣何塞,162 ms
104.21.225.158,LAX,北美洲,洛杉矶,162 ms
1.1.1.235,SJC,北美洲,圣何塞,162 ms
104.17.60.176,SJC,北美洲,圣何塞,162 ms
104.17.88.235,SJC,北美洲,圣何塞,162 ms
104.18.4.30,SJC,北美洲,圣何塞,163 ms
104.18.52.69,SJC,北美洲,圣何塞,163 ms
104.21.87.223,AMS,欧洲,阿姆斯特丹,163 ms
1.1.1.226,SJC,北美洲,圣何塞,163 ms
104.21.213.248,AMS,欧洲,阿姆斯特丹,163 ms
104.18.26.252,LAX,北美洲,洛杉矶,163 ms
172.67.130.93,AMS,欧洲,阿姆斯特丹,163 ms
104.16.127.21,LAX,北美洲,洛杉矶,163 ms
104.16.185.46,SJC,北美洲,圣何塞,163 ms
104.19.164.132,SJC,北美洲,圣何塞,163 ms
104.21.77.102,AMS,欧洲,阿姆斯特丹,163 ms
104.19.9.157,SJC,北美洲,圣何塞,164 ms
104.18.36.123,LAX,北美洲,洛杉矶,164 ms
104.21.60.143,AMS,欧洲,阿姆斯特丹,164 ms
1.0.0.123,SJC,北美洲,圣何塞,164 ms
1.1.1.108,SJC,北美洲,圣何塞,164 ms
104.21.1.161,AMS,欧洲,阿姆斯特丹,164 ms
104.21.234.158,LAX,北美洲,洛杉矶,164 ms
104.16.1.103,SJC,北美洲,圣何塞,164 ms
104.16.229.220,SJC,北美洲,圣何塞,164 ms
104.16.179.219,SJC,北美洲,圣何塞,165 ms
104.18.34.150,SJC,北美洲,圣何塞,165 ms
1.1.1.75,SJC,北美洲,圣何塞,165 ms
104.17.207.171,SJC,北美洲,圣何塞,165 ms
104.19.157.200,SJC,北美洲,圣何塞,165 ms
104.21.238.148,PDX,北美洲,波特兰,165 ms
104.21.207.42,AMS,欧洲,阿姆斯特丹,166 ms
104.17.200.131,SJC,北美洲,圣何塞,166 ms
104.16.118.20,LAX,北美洲,洛杉矶,166 ms
104.16.125.217,SJC,北美洲,圣何塞,166 ms
104.19.196.147,SJC,北美洲,圣何塞,166 ms
104.18.80.252,SJC,北美洲,圣何塞,166 ms
1.0.0.224,SJC,北美洲,圣何塞,166 ms
104.17.160.106,SJC,北美洲,圣何塞,166 ms
1.0.0.45,SJC,北美洲,圣何塞,166 ms
1.1.1.158,SJC,北美洲,圣何塞,167 ms
1.0.0.123,SJC,北美洲,圣何塞,167 ms
104.19.134.63,LAX,北美洲,洛杉矶,167 ms
104.16.116.59,LAX,北美洲,洛杉矶,167 ms
1.1.1.67,SJC,北美洲,圣何塞,167 ms
104.16.151.138,SJC,北美洲,圣何塞,167 ms
104.21.205.19,AMS,欧洲,阿姆斯特丹,168 ms
104.17.35.105,SJC,北美洲,圣何塞,168 ms
104.21.212.84,AMS,欧洲,阿姆斯特丹,168 ms
1.1.1.99,SJC,北美洲,圣何塞,168 ms
104.17.8.242,SJC,北美洲,圣何塞,168 ms
104.21.228.87,PDX,北美洲,波特兰,168 ms
104.17.116.199,SJC,北美洲,圣何塞,168 ms
104.19.132.117,SLC,北美洲,盐湖城,168 ms
172.67.219.87,AMS,欧洲,阿姆斯特丹,169 ms
104.21.219.88,AMS,欧洲,阿姆斯特丹,169 ms
